Как специалисты в области информатики сравнивают алгоритмы вместо времени выполнения?;Они сравнивают алгоритмы по количеству шагов, которые требуются для их выполнения.
Что такое размер задачи в контексте алгоритма?;Переменная n в уравнении, описывающем количество шагов в алгоритме, называется размером задачи.
Что важно знать программисту о поведении алгоритма при увеличении размера задачи?;Важно знать, как алгоритм поведет себя при увеличении переменной n, так как большинство алгоритмов хорошо работают с малым объемом данных, но могут не справиться с большим.
Какое уравнение описывает количество шагов для программы, выводящей числа от 1 до n и суммирующей их?;f(n) = 1 + 2n, где 1 представляет шаг присваивания count = 0, а 2n — вывод и инкремент для каждого числа.
Что такое нотация «O большое»?;Нотация «O большое» — это математическое обозначение, описывающее, как по мере роста n возрастают требования алгоритма к времени и объему памяти.
Почему при анализе алгоритма игнорируются менее значимые части уравнения T(n)?;По мере роста n часть алгоритма, которая растет быстрее, затмевает остальные, делая их неактуальными для оценки эффективности.
Что такое порядок величины в контексте нотации «O большое»?;"Порядок величины — это тип объекта в системе классификации, где каждый тип во много раз больше или меньше предыдущего; для алгоритма это преобладающая часть T(n)."
Перечислите общепринятые классификации порядка величины от наиболее эффективного к наименее эффективному.;Постоянное время, логарифмическое время, линейное время, линейно-логарифмическое время, квадратичное время, кубическое время, экспоненциальное время.
Что такое временная сложность алгоритма?;Временная сложность — это максимальное количество шагов, требующихся алгоритму для завершения по мере увеличения n.
Что означает постоянное время O(1)?;Алгоритм выполняется за постоянное время, если ему требуется одно и то же количество шагов независимо от объема задачи, например, T(n) = 1.
Почему для алгоритма с T(n) = n + n^3 доминирующей является часть n^3?;При больших n (например, n=1000) n^3 = 1 миллиард, что значительно превосходит n, поэтому первая часть становится неактуальной.
Как преобразуются n вложенных циклов for в выражение T(n)?;Два вложенных цикла дают n^2, три — n^3, и так далее, потому что каждый уровень добавляет множитель n.
Приведите пример алгоритма с постоянным временем из текста.;free_books = customers[0] — алгоритму требуется один шаг независимо от количества покупателей.
Как выглядит график зависимости шагов от n для постоянной временной сложности?;Линия на графике ровная, количество шагов не увеличивается с ростом объема (ось X — количество покупателей, ось Y — количество шагов).
Какая временная сложность является второй по эффективности?;Логарифмическое время (O(log n)).
Как в нотации «О большое» выражается логарифмический алгоритм?;O(log n).
Как растет время выполнения логарифмического алгоритма при увеличении размера данных?;Количество шагов растет пропорционально логарифму размера входных данных, медленно.
Что такое линейное время?;Алгоритм выполняется за линейное время, когда его время выполнения растет пропорционально размеру задачи (O(n)).
Приведите пример линейного алгоритма из текста.;Поиск покупателя с именем, начинающимся на 'B', перебором всего списка.
Как в нотации «О большое» выражается линейный алгоритм?;O(n).
Что такое линейно-логарифмическое время?;Алгоритм растет как произведение логарифмической и линейной сложностей: O(n log n).
Приведите пример линейно-логарифмического алгоритма из текста.;Большинство эффективных алгоритмов сортировки, такие как сортировка слиянием.
Что такое квадратичное время?;Алгоритм выполняется за квадратичное время, когда его производительность прямо пропорциональна квадрату размера задачи: O(n^2).
Приведите пример квадратичного алгоритма из текста.;Умножение каждого элемента списка на каждый другой с двумя вложенными циклами.
Как выглядит уравнение временной сложности для квадратичного примера с двумя вложенными циклами?;f(n) = 1 + 2 * n^2, в нотации O(n) = n^2.
Какие алгоритмы сортировки упоминаются как выполняющиеся за квадратичное время?;Сортировка методом вставок и пузырьковая сортировка.
Как растет количество шагов в квадратичном алгоритме по мере увеличения размера задачи?;Количество шагов резко увеличивается пропорционально квадрату размера задачи.
Какое время выполнения алгоритма обозначается как O(n^3)?;Кубическое время.
Как записывается кубическая сложность в нотации «О большое»?;O(n) = n^3.
Сколько вложенных циклов характеризует алгоритм с кубической временной сложностью?;Три вложенных цикла.
Что такое экспоненциальная временная сложность в нотации «О большое»?;O(c^n), где c — константа, а n — размер задачи.
Примером какой сложности является проверка всех возможных комбинаций числового пароля?;Экспоненциальной сложности O(10^n).
Что такое сложность алгоритма в лучшем случае?;Как алгоритм работает с идеальными входными данными.
Что такое сложность алгоритма в худшем случае?;Работа алгоритма в наихудшем из всех возможных сценариев.
Что такое средняя сложность алгоритма?;Как алгоритм работает в среднем.
Что такое пространственная сложность алгоритма?;Пространственная сложность — это объем необходимой алгоритму памяти, включающий фиксированное пространство, пространство структуры данных и временное пространство.
Какие три компонента включает пространственная сложность?;Фиксированное пространство (объем памяти, требуемый программе), пространство структуры данных (объем памяти для хранения набора данных) и временное пространство (объем памяти для промежуточной обработки).
Приведите пример алгоритма с постоянной пространственной сложностью O(1).;"Вычисление факториала n с использованием цикла: x = 1; n = 5; for i in range(1, n + 1): x = x * i. Память не увеличивается с ростом n."
Приведите пример алгоритма с линейной пространственной сложностью O(n).;"Сохранение всех факториалов до n в списке: x = 1; n = 5; a_list = []; for i in range(1, n + 1): a_list.append(x); x = x * i. Объем памяти растет линейно с n."
Почему важно понимать порядки величины при оптимизации алгоритмов?;Чтобы улучшить алгоритм, нужно сосредоточиться на изменении порядка величины (например, с O(n^2) на O(n)), а не на мелких оптимизациях внутри циклов, так как это значительно сильнее влияет на производительность.
Какой пример влияния выбора алгоритма на реальный мир приведен в тексте?;Выбор между константным и квадратичным алгоритмом для ответов на интернет-запросы может повлиять на время загрузки сайта: менее секунды или более минуты, что может привести к потере клиентов.
Что такое нотация «О большое»?;Математическое обозначение того, как возрастают требования алгоритма к времени или объему памяти по мере роста n (объема задачи).
Что означает постоянное время в контексте временной сложности?;Алгоритм выполняется за постоянное время, когда ему требуется одно и то же количество шагов, вне зависимости от объема задачи.
Что означает логарифмическое время?;Алгоритм выполняется за логарифмическое время, когда время выполнения растет пропорционально логарифму размера входных данных.
Что означает линейное время?;Алгоритм выполняется за линейное время, которое растет пропорционально размеру входных данных.
Что такое линейно-логарифмическое время?;Алгоритм выполняется за линейно-логарифмическое время, если его время растет как сочетание (умножение) логарифмических и линейных временных сложностей.
Что такое квадратичное время?;Алгоритм выполняется за квадратичное время, когда производительность алгоритма прямо пропорциональна размеру задачи в квадрате.
Что такое кубическое время?;Алгоритм выполняется за кубическое время, когда производительность алгоритма прямо пропорциональна размеру задачи в кубе.
Что такое полиномиальное время?;Алгоритм выполняется за полиномиальное время, которое вычисляется как O(n^a), где a = 2 для квадратичного времени и a = 3 для кубического времени.
Что такое экспоненциальное время?;Алгоритм выполняется за экспоненциальное время, когда содержит константу, увеличенную до размеров задачи.
Что такое алгоритм полного перебора?;Это тип алгоритма с проверкой всех возможных вариантов.
Что такое сложность в лучшем случае?;Это то, как алгоритм работает с идеальными входными данными.
Что такое сложность в худшем случае?;Это то, как алгоритм работает в наихудшем из всех возможных сценариев.
Что такое средняя сложность?;Это то, как алгоритм работает в среднем.
Что такое пространственная сложность?;Это объем памяти, который требуется алгоритму.
Что такое фиксированное пространство?;Это объем памяти, необходимый программе.
Что такое пространство структуры данных?;Это объем памяти, нужный для хранения набора данных.
Что такое временное пространство?;Это объем памяти, который требуется алгоритму для промежуточной обработки, например, в случае временного копирования списка для переноса данных.
Что такое итеративный алгоритм?;Решает задачи повтором шагов снова и снова, используя, как правило, цикл.
Что такое рекурсия?;Это метод решения задачи, когда вы решаете более мелкие экземпляры задачи, пока не придете к решению. Рекурсивные алгоритмы опираются на функции, вызывающие сами себя.
Какие три закона рекурсии?;1. У рекурсивного алгоритма должны быть как минимум одна рекурсивная и одна терминальная ветвь. 2. Рекурсивный алгоритм должен менять свое состояние и стремиться к терминальной ветви. 3. Рекурсивный алгоритм должен вызывать себя рекурсивно.
Что такое терминальная ветвь в рекурсии?;Это условие, которое завершает рекурсивный алгоритм, останавливая его навсегда.
Что такое факториал числа?;Это произведение всех положительных целых чисел, меньших или равных числу. Например, факториал числа 5 равен 5 × 4 × 3 × 2 × 1.
Как работает рекурсивная функция factorial?;Функция вызывает саму себя с аргументом n-1 до тех пор, пока n не станет равным 0. Каждый вызов помещает выражение в стек. При достижении терминальной ветви (n=0) возвращается 1, затем стек разворачивается, вычисляя произведения.
Что такое терминальная ветвь в рекурсии?;Это условие, при котором функция прекращает вызывать саму себя и возвращает конкретное значение. В примере с factorial: if n == 0: return 1.
Как Python обрабатывает рекурсивные вызовы?;Python помещает каждое выражение возврата в стек вызовов. Когда достигается терминальная ветвь, значения начинают вычисляться с вершины стека, постепенно разворачиваясь до начального вызова.
Каковы преимущества и недостатки рекурсии перед итерацией?;Преимущество: изящность и часто более короткий код. Недостатки: занимает больше памяти из-за стека вызовов и может быть сложнее для чтения и отладки.
Что такое стек вызовов?;Это структура данных, в которой элементы добавляются и удаляются в порядке LIFO (последним пришел — первым вышел). В рекурсии используется для хранения незавершенных вызовов функций.
Приведите пример рекурсивного кода для вычисления факториала.;"def factorial(n):
    if n == 0:
        return 1
    return n * factorial(n - 1)"
Почему рекурсия может использовать больше памяти?;Каждый рекурсивный вызов сохраняет данные в стеке, и пока вызов не завершен, эти данные остаются в памяти. Для глубокой рекурсии это может привести к переполнению стека.
Что такое итеративный алгоритм?;Алгоритм, решающий задачи повтором шагов снова и снова, обычно с помощью цикла.
Что такое рекурсия?;Метод решения задачи, при котором результат зависит от решений меньших экземпляров одной и той же задачи.
Что такое терминальная ветвь в рекурсии?;Условие, при котором рекурсивный алгоритм завершается, чтобы он не продолжался вечно.
Что такое факториал числа n?;Произведение всех положительных целых чисел, меньших или равных n.
Что такое поисковый алгоритм?;Алгоритм, который находит определенные данные в наборе данных.
Что такое набор данных?;Совокупность собранной информации.
Назовите два наиболее распространенных примера поисковых алгоритмов.;Линейный поиск и двоичный поиск.
Как работает линейный поиск?;Перебирает каждый элемент в наборе данных и сопоставляет его с целевым числом. Если найдено совпадение, возвращается True, иначе False.
Какова временная сложность линейного поиска в худшем случае?;O(n), где n — количество элементов.
Какова временная сложность линейного поиска в лучшем случае?;O(1), если искомый элемент первый в списке.
Когда следует использовать линейный поиск?;Когда данные не отсортированы.
Что такое отсортированные данные?;Данные, упорядоченные определенным образом, например по возрастанию или убыванию.
Какое ключевое слово в Python позволяет выполнить линейный поиск в списке?;in
Какие два аргумента принимает функция binary_search?;a_list и n (искомое число)
Для каких данных можно применять двоичный поиск?;Только для отсортированных данных
Какой оператор используется для целочисленного деления в Python и что он делает?;"//; возвращает целое значение результата деления, округляя в меньшую сторону"
Сколько шагов потребовалось для поиска числа 19 в отсортированном списке из 7 элементов с помощью двоичного поиска?;Три шага
Сколько шагов потребовалось бы для поиска числа 19 в том же списке с помощью линейного поиска?;Семь шагов
Как в двоичном поиске определяется средняя точка списка?;Складываются first и last, результат делится на 2 с использованием целочисленного деления (//)
Что означает условие 'while last >= first' в алгоритме двоичного поиска?;Цикл продолжается, пока в списке еще есть элементы для поиска
Что происходит в двоичном поиске, если искомое число меньше среднего значения?;Переменной last присваивается значение mid - 1, исключая верхнюю половину списка
Что происходит в двоичном поиске, если искомое число больше среднего значения?;Переменной first присваивается значение mid + 1, исключая нижнюю половину списка
Какой результат возвращает функция binary_search, если искомое число найдено?;True
Какой результат возвращает функция binary_search, если искомое число не найдено?;False
Как вычислить среднюю точку (mid) в двоичном поиске на Python?;mid = (first + last) // 2
Что возвращает функция двоичного поиска, если число не найдено?;return False
Какова временная сложность двоичного поиска?;O(log n)
Сколько шагов требуется для линейного поиска в списке из миллиона чисел?;Миллион шагов
Сколько шагов требуется для двоичного поиска в списке из миллиона чисел?;20 шагов
Что такое логарифм?;Логарифм — это показатель степени, в которую нужно возвести основание, чтобы получить искомое число.
Чему равен log₂(8)?;3
Сколько итераций требуется двоичному поиску для списка из 100 элементов в наихудшем случае?;7 итераций
Почему основание логарифма не важно в нотации «О большое»?;Потому что его можно изменить, умножив логарифм на константу.
Какой модуль Python следует использовать для двоичного поиска?;Модуль bisect, функция bisect_left
Как импортировать bisect_left?;from bisect import bisect_left
Что возвращает bisect_left, если элемент найден?;Индекс существующего элемента в отсортированном списке.
Что возвращает bisect_left, если элемента нет в списке?;Индекс, на котором элемент мог бы находиться.
Как проверить, содержится ли элемент в отсортированной последовательности с помощью bisect_left?;Используйте bisect_left для поиска индекса, затем проверьте, что индекс в пределах последовательности и элемент по этому индексу равен искомому.
Какой код на Python реализует двоичный поиск с помощью bisect_left?;"from bisect import bisect_left
def binary_search(an_iterable, target):
    index = bisect_left(an_iterable, target)
    if index <= len(an_iterable) and an_iterable[index] == target:
        return True
    return False"
Что такое набор символов (character set)?;Это таблица сопоставления символов с двоичными числами.
Что такое ASCII и какой размер он имеет?;ASCII — Американская стандартная кодировочная таблица, использующая семибитовые числа, максимум 128 символов.
Какое десятичное значение ASCII для буквы 'A'?;65
Какое двоичное значение ASCII для 'b'?;01100010
Сколько символов может содержать расширенный 8-битный ASCII?;256 символов
Какую проблему решает таблица символов Юникод (Unicode)?;Таблица ASCII может выразить только 256 символов, что недостаточно для обработки текстов других систем письма, таких как японская или китайская. Юникод решает эту проблему, предоставляя таблицу с гораздо большим количеством символов.
Что такое кодирование символов?;Кодирование символов означает присвоение символу числа для цифрового представления.
Что такое UTF-8?;UTF-8 — один из методов кодирования символов, который используют программисты для реализации таблицы символов Юникода. Он использует до 32 бит для кодирования каждого символа.
Сколько бит использует UTF-8 для кодирования символов?;UTF-8 использует до 32 бит для кодирования каждого символа.
Сколько символов может представить UTF-8?;UTF-8 может представить более миллиона символов.
Совместима ли UTF-8 с ASCII?;Да, система UTF-8 совместима с ASCII, потому что использует то же самое битовое представление для латинского алфавита.
Какая функция в Python используется для получения значения символа ASCII?;Функция ord().
Что выведет код: print(ord('a'))?;97
Для чего может быть полезна функция ord()?;Функция ord() может быть полезна, если вы хотите работать непосредственно с базовыми ASCII-кодами различных символов.
Как можно адаптировать бинарный поиск для поиска символов?;Нужно получить и сравнить значения символов ASCII. Во время прохождения цикла проверять, является ли ASCII-код каждого символа выше, ниже или равным искомому ASCII-коду.
Когда следует использовать линейный и двоичный поиски?;Текст не даёт конкретных ответов, но упоминает, что теперь вы знаете, как они работают и в каких случаях их следует использовать.
Какой способ поиска считается самым эффективным согласно тексту?;Поиск при помощи хеш-таблиц, о котором будет рассказано во второй части книги.
Что такое поисковый алгоритм?;Алгоритм, который ищет данные в наборе данных.
Что такое набор данных?;Совокупность собранной информации.
Что такое линейный поиск?;Поисковый алгоритм, который перебирает все элементы в наборе данных и сопоставляет каждый с целевым.
Что такое отсортированные данные?;Данные, упорядоченные определённым образом.
Что такое двоичный поиск?;Ещё один алгоритм для поиска в списке чисел, более быстрый по сравнению с линейным.
Что такое оператор целочисленного деления?;Оператор, который возвращает целое значение результата деления, округляя его в меньшую сторону.
Что такое возведение в степень?;Математическая операция b^n (или b**n на языке Python), которая состоит в умножении числа b на само себя n раз.
Что такое основание в уравнении возведения в степень?;Основание — это b в уравнении возведения в степень (b^n).
Что такое степень в уравнении возведения в степень?;Степень — это n в уравнении возведения в степень (b^n).
