Каково русское название книги, из которой взят этот текст?;Python. Карманный справочник
Что делает опция командной строки `-5` (предположительно `-S`)?;Она запрещает подразумевать импорт модулей из местного каталога пользователя при инициализации.
Для чего используется опция командной строки `ч` (Cyrillic `ч`, предположительно `-u`)?;Сделать принудительно небуферизованными и двоичными стандартные потоки вывода данных (Stdout) и ошибок (stderr).
Опишите действие опции командной строки `-V` (первый вариант, связанный с модулями). Как можно усилить её действие?;Выводит сообщение всякий раз, когда инициализируется модуль, показывая место, из которого он загружен. Для более подробного вывода этот параметр можно повторить.
Каково назначение опции командной строки `-V` (второй вариант) или `--version`?;Выводит номер версии Python и выходит из программы.
Как опция `-W arg` управляет выдачей предупреждений в Python?;Она управляет выдачей предупреждений, где `arg` принимает вид `действие: сообщение: категория: модуль: номер строки`.
Что делает опция командной строки `-x`?;Пропускает первую строку исходного кода, разрешая использовать формы директив `#! cmd`, отличающиеся от принятых в Unix.
Для чего используется опция командной строки `-X параметр` (начиная с Python 3.2)?;Устанавливает параметр в зависимости от реализации Python. Поддерживаемые значения `параметр` приведены в документации.
Как запустить программу Python, указав `файл_сценария` в командной строке?;Указать имя файла сценария на языке Python (например, `python main.py`). Файл выполняется как основной, его путь доступен в `sys.argv[0]`.
Как запустить Python код, используя опцию `-c команда` в командной строке?;"Указать исполняемый код Python в виде символьной строки (например, `python -c ""print('spam' * 8)""`). Значение `'-c'` устанавливается в `sys.argv[0]`."
Как запустить модуль Python в виде сценария с помощью командной строки?;Использовать опцию `-m модуль` (например, `python -m pdb s.py`). Поиск модуля осуществляется по пути в переменной `sys.path`, полный путь к модулю указывается в `sys.argv[0]`.
Что означает указание символа `-` в командной строке для запуска Python?;Вводит команды Python из стандартного потока ввода (stdin). Входит в диалоговый режим работы, если команды вводятся из стандартного потока ввода tty. Значение `'-'` указывается в `sys.argv[0]`.
Где в Python-скрипте становятся доступны дополнительные аргументы, переданные в командной строке после имени файла, команды или модуля?;Все остальные аргументы в командной строке передаются файлу сценария или команде и доступны в элементе `sys.argv[1:]` списка аргументов.
Когда интерпретатор Python переходит в диалоговый режим работы автоматически?;Если ни один из параметров `файл_сценария`, `-c команда` или `-m модуль` не указан в командной строке.
Какое значение принимает `sys.argv[0]` при переходе интерпретатора Python в диалоговый режим без указания файла, команды или модуля?;`sys.argv[0]` принимает значение `'-'` (пустая строка), если только интерпретатор не вызывается с параметром `-` (чтение из stdin).
Помимо командной строки, какие ещё существуют способы запуска программ на Python?;Щелчок кнопкой мыши на именах файлов в графическом пользовательском интерфейсе (ГПИ), вызов функций из стандартной библиотеки Python (например, `os.popen()`), а также выбор команд запуска из меню интегрированных сред разработки (ИСР), таких как IDLE, Komodo, Eclipse или NetBeans.
Какие опции командной строки, присутствующие в Python 3.X, отсутствуют в версии 2.X?;В Python 2.X отсутствует поддержка параметров `-b` (связанного с изменениями в строковом типе данных), `-q` и `-X`.
Какие дополнительные параметры для контроля отступов поддерживаются в Python 2.X (например, 2.6 и 2.7) и что они делают?;`-t` и `-tt` выдают предупреждения о несогласованном совместном употреблении символов табуляции и пробелов при отступах. При указании параметра `-ttt` выдаются непосредственно ошибки.
К чему относятся параметры -Qold, -Qmain, -Qwarnall и -Qnew?;Эти параметры относятся к новому режиму подлинного разделения в версии Python 3.X.
Каково назначение функционала, который выдает предупреждения о несовместимости с Python 3.X?;Он выдает предупреждения о любых признаках несовместимости с версией Python 3.X в исходном коде, которую не в состоянии заведомо устранить инструментальное средство 2103 из стандартной установки Python.
Что активизирует псевдослучайная затравка (seed) в Python и для чего она нужна?;Она активизирует псевдослучайную затравку, чтобы сделать непредсказуемыми хеш-значения различных типов в промежутках между последовательными вызовами интерпретатора и тем самым предотвратить атаки типа отказа в обслуживании.
С какой версии Python появилась псевдослучайная затравка для хеш-значений?;Этот параметр появился в версии Python 2.6.8 и остался ради совместимости в версии 3.X, начиная с выпуска 3.2.3, хотя такого рода рандомизация активизируется по умолчанию, начиная с выпуска 3.3.
Что такое переменные окружения Python?;Переменные окружения (или так называемые переменные командной оболочки) устанавливаются на уровне системы. Они доступны в программах и применяются для их глобальной настройки.
Что делает переменная окружения PYTHONPATH?;Она расширяет исходный путь поиска импортируемых файлов модулей.
Какой формат имеет значение переменной PYTHONPATH?;Имена путей к каталогам разделяются двоеточиями (или точками с запятой в Windows).
Куда включается значение переменной PYTHONPATH?;Значение этой переменной включается в переменную окружения sys.path.
Для чего предназначена переменная окружения PYTHONSTARTUP?;Если в этой переменной задано имя читаемого файла, то команды Python из этого файла выполняются до появления первого приглашения в диалоговом режиме работы, что удобно для определения часто используемых инструментальных средств.
Каково назначение переменной окружения PYTHONHOME?;Если эта переменная установлена, то ее значение используется в качестве каталога библиотечных модулей с чередующимся префиксом (или sys.prefix, sys.exec_prefix).
Каково действие переменной окружения PYTHONCASEOK?;Если эта переменная установлена, то в операторах импорта регистр в именах файлов не учитывается (в настоящее время поддерживается только в Windows и Mac OS X).
Для чего используется переменная окружения PYTHONIOENCODING?;Этой переменной присваивается символьная строка формата наименование_кодировки[: обработчик_ошибок] для замены кодировки в уникоде (и дополнительно — обработчика ошибок) при вводе текста из стандартного потока stdin и его выводе в стандартные потоки stdout и stderr.
Зачем может потребоваться PYTHONIOENCODING?;Такая настройка может потребоваться в некоторых командных оболочках для обработки текста, не представленного в коде ASCII.
Как PYTHONHASHSEED используется для хеширования объектов?;Если в этой переменной задано случайное начальное значение, оно используется для хеширования объектов типа str, bytes и datetime.
Как можно получить предсказуемые хеш-значения с помощью PYTHONHASHSEED?;Для получения хеш-значений с предсказуемым начальным значением в этой переменной можно установить целое значение в пределах от 0 до 4294967295.
Каково назначение переменной окружения PYTHONFAULTHANDLER?;Если эта переменная установлена, то обработчики регистрируются при запуске программы на Python, чтобы вывести содержимое оперативной памяти и отследить снизу вверх причины фатальных ошибок.
Какому параметру командной строки Python соответствует PYTHONFAULTHANDLER, начиная с версии Python 3.3?;Начиная с версии Python 3.3, это равнозначно указанию параметра -Х обработчик_отказов в командной строке.
Какому параметру командной строки аналогична переменная окружения PYTHONDEBUG?;Она действует аналогично параметру -@.
Какому параметру командной строки аналогична переменная окружения PYTHONDONTWRITEBYTECODE?;Она действует аналогично параметру -В.
Какому параметру командной строки аналогична переменная окружения PYTHONINSPECT?;Она действует аналогично параметру -1.
Какому параметру командной строки аналогична переменная окружения PYTHONNOUSERSITE?;Она действует аналогично параметру -5.
Какому параметру командной строки аналогична переменная окружения PYTHONOPTIMIZE?;Она действует аналогично параметру -©.
Какому параметру командной строки аналогична переменная окружения PYTHONUNBUFFERED?;Она действует аналогично параметру —u.
Какому параметру командной строки аналогична переменная окружения PYTHONVERBOSE?;Она действует аналогично параметру -\.
В каких версиях Python имеется возможность указывать несколько параметров -W с помощью разделенной запятыми символьной строки?;Такая возможность имеется в версиях Python 2.7 и 3.2.
Начиная с какой версии Python в Windows устанавливается средство запуска сценариев (launcher) по умолчанию?;Начиная с версии Python 3.3 в Windows устанавливается средство запуска сценариев.
Какие исполняемые файлы составляют средство запуска сценариев Python в Windows?;Средство запуска состоит из исполняемых файлов py.exe (консольный вариант) и pyw.exe (бесконсольный вариант).
Какое ключевое преимущество использования py.exe/pyw.exe упоминается относительно переменной окружения PATH?;Эти файлы можно вызывать без настроек переменной окружения PATH.
Какими способами можно выбирать версии Python с помощью средства запуска сценариев?;Выбирать версии Python можно с помощью: #!-подобных директив, аргументов командной строки, параметров, настраиваемых по умолчанию.
Где должны быть указаны директивы #! (shebang) в файлах сценариев для их распознавания средством запуска?;Средство запуска распознает строки кода с директивами #! в самом начале файлов сценариев.
Что означает символ '*' в директивах #! (например, #!python*)?;Символ '*' обозначает использование версии по умолчанию (в настоящее время — версии 2, если она установлена, что равнозначно пропуску директивы #!).
Как в директиве #! указать предпочтительный вариант установки 32-разрядной версии Python?;Это делается с помощью дополнительного суффикса -32 (например, 3.1-32).
В какой версии Python и позднее можно обратиться к переменной окружения PATH для разрешения директивы #!python без явного указания номера версии?;В Python 3.4 и более поздней версии можно обратиться к переменной окружения PATH.
Каков общий синтаксис командной строки для вызова средства запуска Python?;РУ [pyarg] [pythonarg*] script.py [scriptarg*]
Что делает аргумент -2 при вызове средства запуска Python из командной строки (например, py -2 script.py)?;Аргумент -2 запускает последнюю установленную версию 2.X.
Что делает аргумент -3 при вызове средства запуска Python из командной строки?;Аргумент -3 запускает последнюю установленную версию 3.X.
Какой аргумент командной строки для средства запуска позволяет запустить указанную 32-разрядную версию Python?;Аргумент -X-Y=32 (например, -3-32) запускает указанную 32-разрядную версию.
Что имеет приоритет при выборе версии Python: аргументы командной строки или значения в строках с директивой #!?;Предпочтение отдается аргументам командной строки над значениями в строках с директивой #!.
Какая переменная окружения используется средством запуска для стандартных случаев выбора версии Python (иначе версии 2)?;PY_PYTHON.
Какая переменная окружения используется средством запуска для частных случаев выбора версии Python 3.x (например, 3.2)?;PY_PYTHON3.
Действуют ли переменные окружения, такие как PY_PYTHON, при непосредственном вызове команды python?;Нет, эти настройки используются только в исполняемых файлах средства запуска, но не при непосредственном вызове команды python.
Как определяется предшествование (привязка) операторов выражений Python согласно таблице?;Операторы в нижних ячейках таблицы имеют более высокое предшествование (т.е. более тесную привязку) при применении в выражениях с разнотипными операторами без круглых скобок.
Что делает оператор `yield X`?;Возвращает результат выполнения функции-генератора (значение функции send()).
Что делает оператор `lambda args: X`?;Создает анонимную функцию (возвращает при вызове значение X).
Опишите поведение тернарного оператора `X if Y else Z`.;Значение X вычисляется только в том случае, если Y истинно.
Как работает логическая операция ИЛИ (`X or Y`) в отношении вычисления `Y`?;Значение Y вычисляется лишь в том случае, если X ложно.
Как работает логическая операция И (`X and Y`) в отношении вычисления `Y`?;Значение Y вычисляется лишь в том случае, если X истинно.
Для чего используются операторы `X in Y` и `X not in Y`?;Они используются для проверки членства в итераторах и множествах.
Для чего используются операторы `X is Y` и `X is not Y`?;Они используются для проверки объектов на идентичность.
Какую логическую операцию выполняет оператор поразрядное ИЛИ, объединяя множества?;Поразрядное ИЛИ, также используемое для объединения множеств.
Какую логическую операцию выполняет оператор поразрядное исключающее ИЛИ (XOR)?;Поразрядное исключающее ИЛИ (XOR), также используемое для обозначения разноименности множеств.
Какую логическую операцию выполняет оператор поразрядное И, пересекая множества?;Поразрядное И, также используемое для пересечения множеств.
Какой оператор используется для сдвига значения X влево или вправо на Y битов?;Операторы побитового сдвига (например, `<<` или `>>`).
Какие операции выполняются с помощью операторов `+` и `-`?;Сложение/сцепление и вычитание/разность множеств.
Какие операции выполняются с помощью операторов `*`, `%`, `/`, `//`?;Умножение/повторение, получение остатка от деления/форматирование, деление и целочисленное деление.
Что делает оператор `~X`?;Выполняет логическую операцию поразрядное НЕ в дополнительном коде (инверсия).
Что делает оператор `X**Y`?;Возведение X в степень Y.
Для чего используется синтаксис `X[+1]`?;Для индексирования (последовательностей, отображений и прочего).
Что означает синтаксис `X[1:7:К]`?;Нарезка (slicing) последовательностей, где все три границы (начало, конец, шаг) необязательны.
Что делает оператор `X(args2)`?;Вызов функции, метода, класса или другого вызываемого объекта.
Что означает синтаксис `X.attr`?;Ссылка на атрибут `attr` объекта `X`.
Для чего используется синтаксис `( ... )`?;Для обозначения кортежей, выражений и выражений-генераторов.
